"name","label","class","n_missing","pct_missing"
"@A632c1","F3 What used to help stop smoking during the second most recent serious quit attempt - Nicotine replacement product without prescription","haven_labelled/vctrs_vctr/double",430469,97.5
"@A632e1","B8 How respondent would feel if someone suggested they become a non smoker for the rest of their life - It is very attractive","haven_labelled/vctrs_vctr/double",440181,99.7
"@AB32c14","F14a What FINALLY TRIGGERED the second most recent serious quit attempt - Worried for children","haven_labelled/vctrs_vctr/double",440859,99.9
"@AC32d19","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Don't know","haven_labelled/vctrs_vctr/double",441259,99.9
"@Acomc1","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Nicotine replacement product without prescription","haven_labelled/vctrs_vctr/double",441410,100
"@B632c2","F3 What used to help stop smoking during the second most recent serious quit attempt - Nicotine replacement product on prescription or given to you by a health professional","haven_labelled/vctrs_vctr/double",430469,97.5
"@B632e2","B8 How respondent would feel if someone suggested they become a non smoker for the rest of their life - Anxious","haven_labelled/vctrs_vctr/double",440181,99.7
"@BB32c15","F14a What FINALLY TRIGGERED the second most recent serious quit attempt  - Knew someone who was ill/had died (from smoking)","haven_labelled/vctrs_vctr/double",440859,99.9
"@BC32d20","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Other answers","haven_labelled/vctrs_vctr/double",441259,99.9
"@BD32e17","F3 What used to help stop smoking during the second most recent serious quit attempt - Acupuncture","haven_labelled/vctrs_vctr/double",432173,97.9
"@BDcom17","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Acupuncture","haven_labelled/vctrs_vctr/double",441410,100
"@Bcomc2","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Nicotine replacement product on prescription or given to you by a health professional","haven_labelled/vctrs_vctr/double",441410,100
"@C632c3","F3 What used to help stop smoking during the second most recent serious quit attempt - Zyban (bupropion)","haven_labelled/vctrs_vctr/double",430469,97.5
"@C632e3","B8 How respondent would feel if someone suggested they become a non smoker for the rest of their life - I would hate it","haven_labelled/vctrs_vctr/double",440181,99.7
"@CB32c16","F14a What FINALLY TRIGGERED the second most recent serious quit attempt  - (just) decided to quit","haven_labelled/vctrs_vctr/double",440859,99.9
"@CC32d21","G14a What FINALLY TRIGGERED the third most recent serious quit attempt - Not stated","haven_labelled/vctrs_vctr/double",441377,100
"@Ccomc3","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Zyban (bupropion)","haven_labelled/vctrs_vctr/double",441410,100
"@D632c4","F3 What used to help stop smoking during the second most recent serious quit attempt - Champix (varenicline)","haven_labelled/vctrs_vctr/double",430469,97.5
"@D632e4","B8 How respondent would feel if someone suggested they become a non smoker for the rest of their life - Nothing particularly","haven_labelled/vctrs_vctr/double",440181,99.7
"@DB32c17","F14a What FINALLY TRIGGERED the second most recent serious quit attempt -  Health reasons - not specified if current or future","haven_labelled/vctrs_vctr/double",440859,99.9
"@Dcomc4","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Champix (varenicline)","haven_labelled/vctrs_vctr/double",441410,100
"@E632c5","F3 What used to help stop smoking during the second most recent serious quit attempt - Attended an NHS Stop Smoking group","haven_labelled/vctrs_vctr/double",430469,97.5
"@E632e5","B8 How respondent would feel if someone suggested they become a non smoker for the rest of their life - It would not be 'me'","haven_labelled/vctrs_vctr/double",440181,99.7
"@EB32c18","F14a What FINALLY TRIGGERED the second most recent serious quit attempt -  Nothing","haven_labelled/vctrs_vctr/double",440859,99.9
"@Ecomc5","F3 What used to help stop smoking during the second most recent serious quit attempt (COMBINED) - Attended a Stop Smoking group","haven_labelled/vctrs_vctr/double",441410,100
"@F632c6","F3 What used to help stop smoking during the second most recent serious quit attempt - Attended one or more NHS stop smoking one-to-one support sessions","haven_labelled/vctrs_vctr/double",430469,97.5
"@F632e6","B8 How respondent would feel if someone suggested they become a non smoker for the rest of their life - I don't think it is possible for me","haven_labelled/vctrs_vctr/double",440181,99.7
